track_name,artists,album,release_date,popularity,spotify_url
Delicate,Taylor Swift,reputation,2017-11-10,82,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
The Great War,Taylor Swift,Midnights (3am Edition),2022-10-22,70,https://open.spotify.com/track/3UMrglJeju5yWyYIW6o99b
My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,76,https://open.spotify.com/track/7uGYWMwRy24dm7RUDDhUlD
Bigger Than The Whole Sky,Taylor Swift,Midnights (3am Edition),2022-10-22,67,https://open.spotify.com/track/0BiqmkasE5FdrChwKfVp8X
"So Long, London",Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,76,https://open.spotify.com/track/7wAkQFShJ27V8362MqevQr
Deutschland,Rammstein,Rammstein,2019-05-17,79,https://open.spotify.com/track/2bPGTMB5sFfFYQ2YvSmup0
Getaway Car,Taylor Swift,reputation,2017-11-10,80,https://open.spotify.com/track/0VE4kBnHJUgtMf0dy6DRmW
the last great american dynasty - the long pond studio sessions,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,52,https://open.spotify.com/track/28tIMaewZuGR8urkvFhQyA
the 1,Taylor Swift,folklore (deluxe version),2020-08-18,68,https://open.spotify.com/track/4pfrrhvplbJZAIsfosGWQP
Style,Taylor Swift,1989 (Deluxe),2014-01-01,81,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e
Sanalö,Leo Rizzi,Sanalö,2022-07-07,47,https://open.spotify.com/track/4a3TYChLrUfnKgTjTxZYFB
Snow On The Beach (feat. More Lana Del Rey),"Taylor Swift, Lana Del Rey",Midnights (The Til Dawn Edition),2023-05-26,74,https://open.spotify.com/track/4zmKGsrXjLmljb5fTaBTot
Daylight,Taylor Swift,Lover,2019-08-23,83,https://open.spotify.com/track/1fzAuUVbzlhZ1lJAx9PtY6
right where you left me - bonus track,Taylor Swift,evermore (deluxe version),2021-01-07,77,https://open.spotify.com/track/3zwMVvkBe2qIKDObWgXw4N
the last great american dynasty,Taylor Swift,folklore,2020-07-24,71,https://open.spotify.com/track/2Eeur20xVqfUoM3Q7EFPFt
Babe (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021-11-12,68,https://open.spotify.com/track/0v4z1tuZvn6LGknom9Qx7d
Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,80,https://open.spotify.com/track/1hjRhYpWyqDpPahmSlUTlc
QLONA,"KAROL G, Peso Pluma",MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-11,74,https://open.spotify.com/track/3XB5uhhlYSnkxpSihkNQwh
State Of Grace (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,67,https://open.spotify.com/track/6lzc0Al0zfZOIFsFvBS1ki
Wicked Game,Chris Isaak,Heart Shaped World,1989-06-13,84,https://open.spotify.com/track/7w5AOd6HrDIHewHfpABEss
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,97,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya
august,Taylor Swift,folklore (deluxe version),2020-08-18,67,https://open.spotify.com/track/6nK2pIKFcRc5frrZKHgsiT
Cruel Summer,Taylor Swift,Lover,2019-08-23,91,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
For Reasons Unknown,The Killers,Sam's Town,2006-09-27,65,https://open.spotify.com/track/6suRRwX61xSMfU7wJuCVdy
New Romantics,Taylor Swift,1989 (Deluxe),2014-01-01,63,https://open.spotify.com/track/0qAIiGFKLdV1xpNlEhjpq8
Lover,Taylor Swift,Lover,2019-08-23,86,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
willow,Taylor Swift,evermore (deluxe version),2021-01-07,67,https://open.spotify.com/track/2gVhfX2Gy1T9kDuS9azrF7
Ahora,Bomba Estéreo,Deja,2021-09-10,49,https://open.spotify.com/track/5OeuoRbB5ta4gXaK3VzZ8I
